org_code,org
RCF,AIREDALE NHS FOUNDATION TRUST
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST"
RRP,"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST"
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST
R1H,BARTS HEALTH NHS TRUST
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST
RMC,BOLTON NHS FOUNDATION TRUST
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST
RJ6,CROYDON HEALTH SERVICES NHS TRUST
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST"
RN7,DARTFORD AND GRAVESHAM NHS TRUST
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST
RWV,DEVON PARTNERSHIP NHS TRUST
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST
RDY,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST
RYK,DUDLEY INTEGRATED HEALTH AND CARE NHS TRUST
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST
RJN,EAST CHESHIRE NHS TRUST
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST
RWK,EAST LONDON NHS FOUNDATION TRUST
RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST
RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST
RXC,EAST SUSSEX HEALTHCARE NHS TRUST
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST
RLT,GEORGE ELIOT HOSPITAL NHS TRUST
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST
RXV,GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST
RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST
RV9,HUMBER TEACHING NHS FOUNDATION TRUST
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RXY,KENT AND MEDWAY NHS AND SOCIAL CARE PARTNERSHIP TRUST
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST
RGD,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST
RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST
RR8,LEEDS TEACHING HOSPITALS NHS TRUST
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST
RJ2,LEWISHAM AND GREENWICH NHS TRUST
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST
RRU,LONDON AMBULANCE SERVICE NHS TRUST
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST
RPA,MEDWAY NHS FOUNDATION TRUST
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST
RW4,MERSEY CARE NHS FOUNDATION TRUST
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST
RXF,MID YORKSHIRE TEACHING NHS TRUST
RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST
RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST
RVJ,NORTH BRISTOL NHS TRUST
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST
RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST
RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST
RNU,OXFORD HEALTH NHS FOUNDATION TRUST
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RPG,OXLEAS NHS FOUNDATION TRUST
RT2,PENNINE CARE NHS FOUNDATION TRUST
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST
RXE,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST
REF,ROYAL CORNWALL HOSPITALS NHS TRUST
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST
RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST
RNZ,SALISBURY NHS FOUNDATION TRUST
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST
RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST
R1C,SOLENT NHS TRUST
RH5,SOMERSET NHS FOUNDATION TRUST
RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST
RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST
RW1,SOUTHERN HEALTH NHS FOUNDATION TRUST
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RWJ,STOCKPORT NHS FOUNDATION TRUST
RXX,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST
RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST
RX3,"TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST"
RBV,THE CHRISTIE NHS FOUNDATION TRUST
REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST"
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST
RFR,THE ROTHERHAM NHS FOUNDATION TRUST
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST
RET,THE WALTON CENTRE NHS FOUNDATION TRUST
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST
RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST
RBK,WALSALL HEALTHCARE NHS TRUST
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST
RKL,WEST LONDON NHS TRUST
RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST
RGR,WEST SUFFOLK NHS FOUNDATION TRUST
RKE,WHITTINGTON HEALTH NHS TRUST
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
RLQ,WYE VALLEY NHS TRUST
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST
RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST
